transaction_id,Store,Country,SKU,Date,Channel,Promotion,Units Sold,Unit Price,Discount,Revenue,Margin %,Margin
TXN_020098,Carrefour,India,Ferrero Collection 15pc,17-02-2026,Offline,None,218,644,0.0,140392.0,31,43521.52
TXN_020099,Carrefour,Singapore,Ferrero Rocher 32pc,21-02-2026,Retail,None,105,740,0.0,77700.0,33,25641.0
TXN_020100,Amazon Fresh,Singapore,Ferrero Collection 15pc,22-02-2026,Online,None,136,646,0.0,87856.0,35,30749.6
TXN_020101,Amazon Fresh,India,Ferrero Rocher 32pc,19-02-2026,Retail,None,113,734,0.0,82942.0,30,24882.6
TXN_020102,Tesco,Australia,Ferrero Rocher T3,20-02-2026,Online,None,67,144,0.0,9648.0,37,3569.76
TXN_020103,Tesco,Canada,Ferrero Rocher 16pc,22-02-2026,Online,Buy1Get1,182,479,0.5,43589.0,36,15692.04
TXN_020104,Carrefour,Canada,Ferrero Rocher T3,16-02-2026,Online,None,14,147,0.0,2058.0,38,782.04
TXN_020105,Walmart,Canada,Ferrero Collection 15pc,16-02-2026,Retail,None,30,607,0.0,18210.0,35,6373.5
TXN_020106,Walmart,Australia,Ferrero Collection 15pc,17-02-2026,Online,Buy1Get1,150,604,0.5,45300.0,37,16761.0
TXN_020107,Tesco,India,Ferrero Rocher 16pc,16-02-2026,Wholesale,None,196,458,0.0,89768.0,28,25135.04
TXN_020108,Walmart,UAE,Ferrero Rocher T3,16-02-2026,Online,NewYear Sale,186,143,0.2,21278.4,35,7447.44
TXN_020109,Walmart,Canada,Ferrero Rocher T3,21-02-2026,Online,None,74,142,0.0,10508.0,37,3887.96
TXN_020110,Carrefour,Singapore,Ferrero Rocher 16pc,17-02-2026,Offline,None,132,488,0.0,64416.0,28,18036.48
TXN_020111,Tesco,UK,Ferrero Collection 15pc,21-02-2026,Online,Valentine Promo,240,626,0.15,127704.0,40,51081.6
TXN_020112,Walmart,Singapore,Ferrero Rocher T3,22-02-2026,Online,None,119,138,0.0,16422.0,39,6404.58
TXN_020113,Costco,Singapore,Ferrero Rocher T3,20-02-2026,Wholesale,None,96,122,0.0,11712.0,26,3045.12
TXN_020114,Walmart,UK,Ferrero Rocher 24pc,18-02-2026,Retail,None,72,631,0.0,45432.0,30,13629.6
TXN_020115,Costco,Singapore,Ferrero Rocher T3,20-02-2026,Offline,Diwali Promo,53,128,0.15,5766.4,30,1729.92
TXN_020116,Walmart,Australia,Ferrero Rocher 16pc,20-02-2026,Wholesale,None,71,462,0.0,32802.0,25,8200.5
TXN_020117,Carrefour,UAE,Ferrero Rocher T3,21-02-2026,Retail,None,63,122,0.0,7686.0,30,2305.8
TXN_020118,Amazon Fresh,UK,Ferrero Rocher 16pc,18-02-2026,Offline,None,177,490,0.0,86730.0,30,26019.0
TXN_020119,Tesco,India,Ferrero Collection 15pc,22-02-2026,Retail,None,235,622,0.0,146170.0,35,51159.5
TXN_020120,Tesco,Australia,Ferrero Rocher 24pc,18-02-2026,Wholesale,None,20,622,0.0,12440.0,28,3483.2
TXN_020121,Walmart,USA,Ferrero Rocher T3,18-02-2026,Retail,Buy1Get1,108,131,0.5,7074.0,30,2122.2
TXN_020122,Walmart,Singapore,Ferrero Rocher 16pc,16-02-2026,Retail,Valentine Promo,48,487,0.15,19869.6,35,6954.36
TXN_020123,Costco,India,Ferrero Rocher 16pc,20-02-2026,Retail,Buy1Get1,79,485,0.5,19157.5,30,5747.25
TXN_020124,Amazon Fresh,UK,Ferrero Rocher 32pc,17-02-2026,Offline,None,136,719,0.0,97784.0,29,28357.36
TXN_020125,Carrefour,UK,Ferrero Rocher 24pc,19-02-2026,Retail,Valentine Promo,198,644,0.15,108385.2,33,35767.12
TXN_020126,Carrefour,India,Ferrero Collection 15pc,20-02-2026,Online,Christmas Promo,55,616,0.25,25410.0,37,9401.7
TXN_020127,Costco,Canada,Ferrero Rocher 24pc,22-02-2026,Offline,Christmas Promo,189,608,0.25,86184.0,29,24993.36
TXN_020128,Carrefour,UAE,Ferrero Rocher T3,18-02-2026,Retail,None,136,134,0.0,18224.0,30,5467.2
TXN_020129,Costco,Canada,Ferrero Collection 15pc,16-02-2026,Retail,None,25,643,0.0,16075.0,33,5304.75
TXN_020130,Walmart,Australia,Ferrero Rocher T3,17-02-2026,Retail,NewYear Sale,131,146,0.2,15300.8,35,5355.28
TXN_020131,Costco,UAE,Ferrero Rocher T3,22-02-2026,Online,None,22,125,0.0,2750.0,40,1100.0
TXN_020132,Costco,USA,Ferrero Collection 15pc,16-02-2026,Retail,None,191,646,0.0,123386.0,31,38249.66
TXN_020133,Carrefour,UAE,Ferrero Collection 15pc,17-02-2026,Wholesale,None,103,631,0.0,64993.0,29,18847.97
TXN_020134,Amazon Fresh,UK,Ferrero Rocher 32pc,19-02-2026,Wholesale,None,18,746,0.0,13428.0,28,3759.84
TXN_020135,Walmart,Canada,Ferrero Rocher 24pc,17-02-2026,Retail,Valentine Promo,184,629,0.15,98375.6,34,33447.7
TXN_020136,Costco,UAE,Ferrero Rocher 24pc,21-02-2026,Online,None,51,608,0.0,31008.0,36,11162.88
TXN_020137,Amazon Fresh,Australia,Ferrero Collection 15pc,21-02-2026,Retail,Diwali Promo,125,639,0.15,67893.75,33,22404.94
TXN_020138,Costco,Canada,Ferrero Rocher T3,22-02-2026,Online,NewYear Sale,36,131,0.2,3772.8,36,1358.21
TXN_020139,Tesco,USA,Ferrero Rocher T3,20-02-2026,Offline,None,78,145,0.0,11310.0,32,3619.2
TXN_020140,Carrefour,UK,Ferrero Rocher 16pc,22-02-2026,Offline,None,213,473,0.0,100749.0,33,33247.17
TXN_020141,Costco,India,Ferrero Collection 15pc,19-02-2026,Offline,None,152,614,0.0,93328.0,31,28931.68
TXN_020142,Carrefour,UK,Ferrero Rocher 32pc,22-02-2026,Retail,None,204,748,0.0,152592.0,35,53407.2
TXN_020143,Tesco,Canada,Ferrero Rocher 16pc,19-02-2026,Online,None,12,477,0.0,5724.0,36,2060.64
TXN_020144,Walmart,UAE,Ferrero Rocher T3,20-02-2026,Online,None,82,132,0.0,10824.0,39,4221.36
TXN_020145,Tesco,USA,Ferrero Rocher 24pc,20-02-2026,Retail,Diwali Promo,84,649,0.15,46338.6,30,13901.58
TXN_020146,Amazon Fresh,Australia,Ferrero Rocher T3,21-02-2026,Online,None,155,134,0.0,20770.0,38,7892.6
TXN_020147,Amazon Fresh,Australia,Ferrero Rocher T3,17-02-2026,Wholesale,None,112,149,0.0,16688.0,25,4172.0
TXN_020148,Walmart,Canada,Ferrero Rocher T3,21-02-2026,Retail,None,152,140,0.0,21280.0,32,6809.6
TXN_020149,Tesco,USA,Ferrero Rocher 32pc,18-02-2026,Retail,Valentine Promo,250,731,0.15,155337.5,34,52814.75
TXN_020150,Amazon Fresh,Australia,Ferrero Collection 15pc,19-02-2026,Retail,Diwali Promo,66,631,0.15,35399.1,33,11681.7
TXN_020151,Costco,India,Ferrero Rocher 32pc,16-02-2026,Wholesale,None,148,704,0.0,104192.0,27,28131.84
TXN_020152,Carrefour,UAE,Ferrero Rocher 32pc,17-02-2026,Offline,None,72,739,0.0,53208.0,31,16494.48
TXN_020153,Walmart,UAE,Ferrero Rocher 32pc,19-02-2026,Wholesale,None,44,719,0.0,31636.0,25,7909.0
TXN_020154,Carrefour,USA,Ferrero Rocher 24pc,18-02-2026,Retail,None,193,626,0.0,120818.0,34,41078.12
TXN_020155,Walmart,India,Ferrero Collection 15pc,17-02-2026,Retail,None,43,642,0.0,27606.0,31,8557.86
TXN_020156,Amazon Fresh,Canada,Ferrero Rocher 16pc,22-02-2026,Online,None,179,493,0.0,88247.0,37,32651.39
TXN_020157,Walmart,UAE,Ferrero Rocher 16pc,20-02-2026,Offline,None,165,458,0.0,75570.0,33,24938.1
TXN_020158,Costco,Canada,Ferrero Collection 15pc,17-02-2026,Online,Buy1Get1,124,633,0.5,39246.0,38,14913.48
TXN_020159,Tesco,UK,Ferrero Rocher 32pc,20-02-2026,Online,None,248,707,0.0,175336.0,36,63120.96
TXN_020160,Costco,USA,Ferrero Rocher T3,17-02-2026,Offline,None,159,150,0.0,23850.0,31,7393.5
TXN_020161,Amazon Fresh,UK,Ferrero Collection 15pc,17-02-2026,Wholesale,None,21,602,0.0,12642.0,26,3286.92
TXN_020162,Walmart,India,Ferrero Rocher 16pc,19-02-2026,Retail,Valentine Promo,170,477,0.15,68926.5,33,22745.75
TXN_020163,Tesco,India,Ferrero Collection 15pc,18-02-2026,Offline,None,92,640,0.0,58880.0,29,17075.2
TXN_020164,Carrefour,Australia,Ferrero Rocher 24pc,16-02-2026,Online,None,48,621,0.0,29808.0,39,11625.12
TXN_020165,Amazon Fresh,Singapore,Ferrero Rocher 24pc,17-02-2026,Retail,None,21,635,0.0,13335.0,35,4667.25
TXN_020166,Walmart,Canada,Ferrero Rocher 16pc,21-02-2026,Wholesale,None,192,499,0.0,95808.0,25,23952.0
TXN_020167,Amazon Fresh,Singapore,Ferrero Rocher 32pc,21-02-2026,Retail,NewYear Sale,100,702,0.2,56160.0,30,16848.0
TXN_020168,Walmart,India,Ferrero Rocher 16pc,18-02-2026,Online,NewYear Sale,226,472,0.2,85337.6,38,32428.29
TXN_020169,Carrefour,Singapore,Ferrero Collection 15pc,22-02-2026,Wholesale,None,54,607,0.0,32778.0,29,9505.62
TXN_020170,Tesco,UAE,Ferrero Rocher T3,16-02-2026,Offline,None,112,143,0.0,16016.0,29,4644.64
TXN_020171,Amazon Fresh,Singapore,Ferrero Rocher 32pc,18-02-2026,Online,None,21,709,0.0,14889.0,40,5955.6
TXN_020172,Tesco,UK,Ferrero Rocher T3,16-02-2026,Online,None,140,141,0.0,19740.0,40,7896.0
TXN_020173,Amazon Fresh,UK,Ferrero Rocher 32pc,16-02-2026,Offline,None,220,708,0.0,155760.0,33,51400.8
TXN_020174,Walmart,UK,Ferrero Rocher 32pc,19-02-2026,Wholesale,None,132,708,0.0,93456.0,30,28036.8
TXN_020175,Carrefour,Canada,Ferrero Rocher 32pc,20-02-2026,Wholesale,None,30,740,0.0,22200.0,29,6438.0
TXN_020176,Tesco,Canada,Ferrero Rocher T3,17-02-2026,Online,None,116,125,0.0,14500.0,39,5655.0
TXN_020177,Tesco,USA,Ferrero Collection 15pc,21-02-2026,Retail,None,33,602,0.0,19866.0,33,6555.78
TXN_020178,Amazon Fresh,Canada,Ferrero Rocher 24pc,20-02-2026,Online,None,88,604,0.0,53152.0,37,19666.24
TXN_020179,Tesco,UK,Ferrero Rocher 24pc,17-02-2026,Offline,None,151,639,0.0,96489.0,30,28946.7
TXN_020180,Carrefour,USA,Ferrero Rocher 16pc,18-02-2026,Wholesale,NewYear Sale,250,482,0.2,96400.0,30,28920.0
TXN_020181,Tesco,Australia,Ferrero Collection 15pc,20-02-2026,Online,Valentine Promo,27,607,0.15,13930.65,36,5015.03
TXN_020182,Carrefour,USA,Ferrero Rocher 16pc,21-02-2026,Wholesale,None,143,477,0.0,68211.0,26,17734.86
TXN_020183,Walmart,Canada,Ferrero Rocher 24pc,19-02-2026,Wholesale,None,103,640,0.0,65920.0,27,17798.4
TXN_020184,Carrefour,Canada,Ferrero Collection 15pc,17-02-2026,Offline,None,192,617,0.0,118464.0,33,39093.12
TXN_020185,Walmart,Australia,Ferrero Rocher 16pc,21-02-2026,Retail,Diwali Promo,149,486,0.15,61551.9,32,19696.61
TXN_020186,Tesco,USA,Ferrero Rocher 24pc,19-02-2026,Retail,None,23,602,0.0,13846.0,35,4846.1
TXN_020187,Amazon Fresh,USA,Ferrero Collection 15pc,20-02-2026,Wholesale,None,90,607,0.0,54630.0,26,14203.8
TXN_020188,Tesco,USA,Ferrero Collection 15pc,17-02-2026,Wholesale,None,47,631,0.0,29657.0,27,8007.39
TXN_020189,Amazon Fresh,Australia,Ferrero Rocher 16pc,19-02-2026,Online,None,117,467,0.0,54639.0,38,20762.82
TXN_020190,Amazon Fresh,UK,Ferrero Rocher 24pc,18-02-2026,Offline,None,250,634,0.0,158500.0,33,52305.0
TXN_020191,Tesco,Singapore,Ferrero Rocher T3,16-02-2026,Retail,None,10,139,0.0,1390.0,33,458.7
TXN_020192,Carrefour,Canada,Ferrero Collection 15pc,16-02-2026,Offline,NewYear Sale,85,617,0.2,41956.0,32,13425.92
TXN_020193,Costco,USA,Ferrero Rocher T3,18-02-2026,Offline,None,249,135,0.0,33615.0,28,9412.2
TXN_020194,Amazon Fresh,Singapore,Ferrero Collection 15pc,22-02-2026,Wholesale,NewYear Sale,10,617,0.2,4936.0,27,1332.72
TXN_020195,Costco,Singapore,Ferrero Rocher T3,18-02-2026,Online,Buy1Get1,25,127,0.5,1587.5,38,603.25
TXN_020196,Carrefour,USA,Ferrero Rocher T3,20-02-2026,Online,None,46,147,0.0,6762.0,39,2637.18
TXN_020197,Walmart,Singapore,Ferrero Rocher 32pc,17-02-2026,Offline,None,31,750,0.0,23250.0,30,6975.0
TXN_020198,Costco,UK,Ferrero Collection 15pc,21-02-2026,Online,None,172,611,0.0,105092.0,40,42036.8
TXN_020199,Tesco,UK,Ferrero Rocher 16pc,21-02-2026,Online,None,239,456,0.0,108984.0,38,41413.92
TXN_020200,Walmart,UAE,Ferrero Collection 15pc,19-02-2026,Wholesale,None,22,602,0.0,13244.0,28,3708.32
TXN_020201,Tesco,Canada,Ferrero Rocher T3,22-02-2026,Offline,NewYear Sale,36,145,0.2,4176.0,29,1211.04
TXN_020202,Costco,Singapore,Ferrero Rocher 32pc,22-02-2026,Retail,NewYear Sale,106,730,0.2,61904.0,33,20428.32
TXN_020203,Walmart,Australia,Ferrero Rocher 32pc,21-02-2026,Offline,None,97,732,0.0,71004.0,30,21301.2
TXN_020204,Amazon Fresh,Singapore,Ferrero Rocher T3,16-02-2026,Offline,None,151,142,0.0,21442.0,29,6218.18
TXN_020205,Costco,Singapore,Ferrero Rocher 32pc,21-02-2026,Wholesale,None,154,723,0.0,111342.0,28,31175.76
TXN_020206,Costco,Singapore,Ferrero Rocher T3,16-02-2026,Offline,Christmas Promo,151,135,0.25,15288.75,30,4586.62
TXN_020207,Walmart,USA,Ferrero Collection 15pc,19-02-2026,Wholesale,Buy1Get1,59,605,0.5,17847.5,28,4997.3
TXN_020208,Walmart,Canada,Ferrero Rocher 24pc,20-02-2026,Retail,Diwali Promo,74,609,0.15,38306.1,33,12641.01
TXN_020209,Costco,UK,Ferrero Rocher 32pc,20-02-2026,Wholesale,None,87,733,0.0,63771.0,26,16580.46
TXN_020210,Walmart,UK,Ferrero Rocher T3,18-02-2026,Offline,None,23,141,0.0,3243.0,29,940.47
TXN_020211,Costco,India,Ferrero Rocher 32pc,20-02-2026,Online,None,227,745,0.0,169115.0,37,62572.55
TXN_020212,Walmart,USA,Ferrero Rocher 32pc,16-02-2026,Offline,None,219,701,0.0,153519.0,28,42985.32
TXN_020213,Walmart,USA,Ferrero Collection 15pc,18-02-2026,Offline,None,59,615,0.0,36285.0,31,11248.35
